rank,selected_min_distance,low_mid_mass_threshold,mid_high_mass_threshold,low_opening,mid_opening,high_opening,low_estimated_mass,mid_estimated_mass,high_estimated_mass,low_role_score,mid_role_score,high_role_score,spacing_score,balance_score,min_distance_bonus,total_score
1768,1,3353.1562693889473,5314.827050173339,32,34,42,3565.9087609536355,3783.143219748014,4664.769927837539,0.2765457768488848,0.5430330968301214,0.21943946892700547,0.35714285714285715,0.4,0.5,1.09858977117744
1769,1,3353.1562693889473,5314.827050173339,22,24,37,2506.028719488826,2716.1728166774906,4112.649493085068,0.775016296083318,0.1224379647206504,0.13254827556445223,0.5357142857142857,0.2666666666666667,0.5,1.09852634589223
1770,1,3353.1562693889473,5314.827050173339,33,34,43,3674.525990350825,3783.143219748014,4775.163362258878,0.2648359790097974,0.5430330968301214,0.2390227529225463,0.35714285714285715,0.19999999999999996,0.5,1.0984632573338935
1771,1,3353.1562693889473,5314.827050173339,24,26,44,2716.1728166774906,2926.7307526493096,4885.556796680216,0.6271236605727392,0.16245163596650222,0.22860603691808704,0.7142857142857143,0.19999999999999996,0.5,1.0983241906001855
1772,2,3353.1562693889473,5314.827050173339,23,27,33,2611.1007680831576,3032.2166400267965,3674.525990350825,0.7160699783280289,0.21246514895203275,0.07660360219013457,0.38461538461538464,0.8,1.0,1.097907960239427
1773,1,3353.1562693889473,5314.827050173339,29,34,38,3243.1884147817696,3783.143219748014,4223.094015055,0.3312310163574198,0.5430330968301214,0.14658747521049556,0.32142857142857145,0.8888888888888888,0.5,1.097121429667878
1774,1,3353.1562693889473,5314.827050173339,34,44,46,3783.143219748014,4885.556796680216,5105.042730941801,0.22312618117070995,0.5425946765571791,0.26755727410970115,0.42857142857142855,0.33333333333333337,0.5,1.0958971794566377
1775,1,3353.1562693889473,5314.827050173339,32,46,48,3565.9087609536355,5105.042730941801,5323.227730622294,0.2765457768488848,0.40832998561419354,0.33917091854449977,0.5714285714285714,0.25,0.5,1.0947609667218638
1776,1,3353.1562693889473,5314.827050173339,28,31,46,3137.7025274042826,3457.2915315564455,5105.042730941801,0.4204675979724275,0.3269418071689211,0.26755727410970115,0.6428571428571429,0.33333333333333337,0.5,1.0947285840129544
1777,1,3353.1562693889473,5314.827050173339,42,44,47,4664.769927837539,4885.556796680216,5214.135230782047,0.1735514422239232,0.5425946765571791,0.31692522730577444,0.17857142857142858,0.8,0.5,1.0943570603725907
1778,1,3353.1562693889473,5314.827050173339,43,44,48,4775.163362258878,4885.556796680216,5323.227730622294,0.16700646264194394,0.5425946765571791,0.33917091854449977,0.17857142857142858,0.4,0.5,1.094057772029337
1779,1,3353.1562693889473,5314.827050173339,23,27,36,2611.1007680831576,3032.2166400267965,4002.2049711151362,0.7160699783280289,0.21246514895203275,0.08850907591840888,0.4642857142857143,0.6153846153846154,0.5,1.0938024449567123
1780,1,3353.1562693889473,5314.827050173339,22,27,31,2506.028719488826,3032.2166400267965,3457.2915315564455,0.775016296083318,0.21246514895203275,0.03,0.32142857142857145,0.8888888888888888,0.5,1.093751286305192
1781,1,3353.1562693889473,5314.827050173339,21,23,36,2400.9566708944935,2611.1007680831576,4002.2049711151362,0.8039626138386076,0.13243780646032907,0.08850907591840888,0.5357142857142857,0.2666666666666667,0.5,1.093433305741155
