rank,low_opening,mid_opening,high_opening,low_estimated_mass,mid_estimated_mass,high_estimated_mass,low_role_score,mid_role_score,high_role_score,low_fit_score,mid_fit_score,high_fit_score,low_coverage_score,mid_coverage_score,high_coverage_score,low_margin_score,mid_margin_score,high_margin_score,spacing_score,balance_score,mean_role_score,total_score
11,20.0,30.0,40.0,2295.884616758765,3348.674301519626,4443.983053067835,0.8599919799077425,0.5455540027492218,0.30319011691251135,0.9311947780725192,0.5709850447222129,0.3328004699417315,0.9999999999999996,0.8510991408029647,0.45596627313881866,0.47197295435741493,0.023658690736130073,0.0,0.8909674037692603,0.9611807476866704,0.5695786998564919,0.6569472102264251
12,20.0,45.0,50.0,2295.884616758765,4995.950213176449,5541.412770341082,0.8599919799077425,0.6612012416968632,0.6698810898979586,0.9311947780725192,0.5972655132835605,0.7075697651609211,0.9999999999999996,0.9999999999999996,0.9999999999999997,0.47197295435741493,0.3128424252754154,0.08048103658749084,0.46162055484111825,0.20201826129273523,0.7303581038341881,0.6372134872310824
13,25.0,40.0,45.0,2821.2448611375767,4443.983053067835,4995.950213176449,0.7228358802819336,0.912032651756121,0.4799073159461176,0.82792213724394,0.8759670800160692,0.5212957697519309,0.8755227924172959,0.9999999999999996,0.7308647702338404,0.23108986967387402,0.8702455587404325,0.0,0.46712534775601633,0.3401455409464701,0.7049252826613907,0.6327773182540926
14,30.0,35.0,50.0,3348.674301519626,3891.760441477705,5541.412770341082,0.5193889144919365,0.8370198529173422,0.6698810898979586,0.586090304874582,0.8452023696211128,0.7075697651609211,0.7544792068488182,0.9999999999999996,0.9999999999999997,0.0,0.5720933405339297,0.08048103658749084,0.4596094121604442,0.3292124834159869,0.6754299524357457,0.6084351244924746
15,25.0,45.0,50.0,2821.2448611375767,4995.950213176449,5541.412770341082,0.7228358802819336,0.6612012416968632,0.6698810898979586,0.82792213724394,0.5972655132835605,0.7075697651609211,0.8755227924172959,0.9999999999999996,0.9999999999999997,0.23108986967387402,0.3128424252754154,0.08048103658749084,0.46162055484111825,0.25082136145627265,0.6846394039589185,0.6078047723409838
16,35.0,40.0,45.0,3891.760441477705,4443.983053067835,4995.950213176449,0.35690998294697107,0.912032651756121,0.4799073159461176,0.3370797144431311,0.8759670800160692,0.5212957697519309,0.6279004190846851,0.9999999999999996,0.7308647702338404,0.0,0.8702455587404325,0.0,0.46712534775601633,0.9995374121302637,0.5829499835497366,0.6072350310387312
17,35.0,40.0,50.0,3891.760441477705,4443.983053067835,5541.412770341082,0.35690998294697107,0.912032651756121,0.6698810898979586,0.3370797144431311,0.8759670800160692,0.7075697651609211,0.6279004190846851,0.9999999999999996,0.9999999999999997,0.0,0.8702455587404325,0.08048103658749084,0.4673415342807977,0.503196334943636,0.6462745748670169,0.6051267947867459
18,20.0,35.0,40.0,2295.884616758765,3891.760441477705,4443.983053067835,0.8599919799077425,0.8370198529173422,0.30319011691251135,0.9311947780725192,0.8452023696211128,0.3328004699417315,0.9999999999999996,0.9999999999999996,0.45596627313881866,0.47197295435741493,0.5720933405339297,0.0,0.4673415342807977,0.34603106522237376,0.6667339832458654,0.6047548240987561
19,30.0,40.0,45.0,3348.674301519626,4443.983053067835,4995.950213176449,0.5193889144919365,0.912032651756121,0.4799073159461176,0.586090304874582,0.8759670800160692,0.5212957697519309,0.7544792068488182,0.9999999999999996,0.7308647702338404,0.0,0.8702455587404325,0.0,0.46712534775601633,0.5039375055922944,0.6371096273980584,0.5982947732711758
20,25.0,35.0,40.0,2821.2448611375767,3891.760441477705,4443.983053067835,0.7228358802819336,0.8370198529173422,0.30319011691251135,0.82792213724394,0.8452023696211128,0.3328004699417315,0.8755227924172959,0.9999999999999996,0.45596627313881866,0.23108986967387402,0.5720933405339297,0.0,0.4673415342807977,0.5158473372378892,0.6210152833705956,0.5874474263938553
21,30.0,35.0,40.0,3348.674301519626,3891.760441477705,4443.983053067835,0.5193889144919365,0.8370198529173422,0.30319011691251135,0.586090304874582,0.8452023696211128,0.3328004699417315,0.7544792068488182,0.9999999999999996,0.45596627313881866,0.0,0.5720933405339297,0.0,0.4596094121604442,0.9834550932173116,0.5531996281072633,0.5821866422262453
22,30.0,35.0,45.0,3348.674301519626,3891.760441477705,4995.950213176449,0.5193889144919365,0.8370198529173422,0.4799073159461176,0.586090304874582,0.8452023696211128,0.5212957697519309,0.7544792068488182,0.9999999999999996,0.7308647702338404,0.0,0.5720933405339297,0.0,0.4596094121604442,0.49184130651977154,0.6121053611184654,0.5772045633148928
23,25.0,30.0,50.0,2821.2448611375767,3348.674301519626,5541.412770341082,0.7228358802819336,0.5455540027492218,0.6698810898979586,0.82792213724394,0.5709850447222129,0.7075697651609211,0.8755227924172959,0.8510991408029647,0.9999999999999997,0.23108986967387402,0.023658690736130073,0.08048103658749084,0.44635927381394347,0.24053458626350904,0.6460903243097046,0.5755750929307208
24,30.0,45.0,50.0,3348.674301519626,4995.950213176449,5541.412770341082,0.5193889144919365,0.6612012416968632,0.6698810898979586,0.586090304874582,0.5972655132835605,0.7075697651609211,0.7544792068488182,0.9999999999999996,0.9999999999999997,0.0,0.3128424252754154,0.08048103658749084,0.46162055484111825,0.3311300513197019,0.6168237486955861,0.5649738998798276
25,40.0,45.0,50.0,4443.983053067835,4995.950213176449,5541.412770341082,0.1927883348199807,0.6612012416968632,0.6698810898979586,0.08387995763793943,0.5972655132835605,0.7075697651609211,0.5028278533367033,0.9999999999999996,0.9999999999999997,0.0,0.3128424252754154,0.08048103658749084,0.46162055484111825,0.9882155979303138,0.5079568888049342,0.5490323096228997
26,20.0,25.0,50.0,2295.884616758765,2821.2448611375767,5541.412770341082,0.8599919799077425,0.29145228031031084,0.6698810898979586,0.9311947780725192,0.304673166047398,0.7075697651609211,0.9999999999999996,0.4637189909553728,0.9999999999999997,0.47197295435741493,0.0,0.08048103658749084,0.44460812995531684,0.19313522617529988,0.6071084500386706,0.5413360796398304
27,35.0,45.0,50.0,3891.760441477705,4995.950213176449,5541.412770341082,0.35690998294697107,0.6612012416968632,0.6698810898979586,0.3370797144431311,0.5972655132835605,0.7075697651609211,0.6279004190846851,0.9999999999999996,0.9999999999999997,0.0,0.3128424252754154,0.08048103658749084,0.46162055484111825,0.49399348838874313,0.5626641048472644,0.5406405107004904
28,25.0,30.0,45.0,2821.2448611375767,3348.674301519626,4995.950213176449,0.7228358802819336,0.5455540027492218,0.4799073159461176,0.82792213724394,0.5709850447222129,0.5212957697519309,0.8755227924172959,0.8510991408029647,0.7308647702338404,0.23108986967387402,0.023658690736130073,0.0,0.44635927381394347,0.3201828161571081,0.5827657329924243,0.5360464724321206
29,25.0,30.0,35.0,2821.2448611375767,3348.674301519626,3891.760441477705,0.7228358802819336,0.5455540027492218,0.12560615463524252,0.82792213724394,0.5709850447222129,0.14421793413802564,0.8755227924172959,0.8510991408029647,0.178323958554099,0.23108986967387402,0.023658690736130073,0.0,0.44635927381394347,0.9711708724931941,0.46466534588879926,0.5125699877380104
30,25.0,30.0,40.0,2821.2448611375767,3348.674301519626,4443.983053067835,0.7228358802819336,0.5455540027492218,0.30319011691251135,0.82792213724394,0.5709850447222129,0.3328004699417315,0.8755227924172959,0.8510991408029647,0.45596627313881866,0.23108986967387402,0.023658690736130073,0.0,0.44635927381394347,0.4815349458648373,0.5238599999812222,0.508002385644492
31,20.0,30.0,35.0,2295.884616758765,3348.674301519626,3891.760441477705,0.8599919799077425,0.5455540027492218,0.12560615463524252,0.9311947780725192,0.5709850447222129,0.14421793413802564,0.9999999999999996,0.8510991408029647,0.178323958554099,0.47197295435741493,0.023658690736130073,0.0,0.4596094121604442,0.5158543513669013,0.5103840457640689,0.5033148812838084
32,20.0,25.0,45.0,2295.884616758765,2821.2448611375767,4995.950213176449,0.8599919799077425,0.29145228031031084,0.4799073159461176,0.9311947780725192,0.304673166047398,0.5212957697519309,0.9999999999999996,0.4637189909553728,0.7308647702338404,0.47197295435741493,0.0,0.0,0.44460812995531684,0.2415776665497537,0.5437838587213902,0.49868688018931556
33,20.0,25.0,40.0,2295.884616758765,2821.2448611375767,4443.983053067835,0.8599919799077425,0.29145228031031084,0.30319011691251135,0.9311947780725192,0.304673166047398,0.3328004699417315,0.9999999999999996,0.4637189909553728,0.45596627313881866,0.47197295435741493,0.0,0.0,0.44460812995531684,0.3237492326189057,0.4848781257101882,0.46272473703782924
34,20.0,25.0,30.0,2295.884616758765,2821.2448611375767,3348.674301519626,0.8599919799077425,0.29145228031031084,0.0,0.9311947780725192,0.304673166047398,0.0,0.9999999999999996,0.4637189909553728,0.0,0.47197295435741493,0.0,0.0,0.44460812995531684,0.9960768287759214,0.38381475340601773,0.454159967425403
35,20.0,25.0,35.0,2295.884616758765,2821.2448611375767,3891.760441477705,0.8599919799077425,0.29145228031031084,0.12560615463524252,0.9311947780725192,0.304673166047398,0.14421793413802564,0.9999999999999996,0.4637189909553728,0.178323958554099,0.47197295435741493,0.0,0.0,0.44460812995531684,0.49075441219817817,0.42568347161776526,0.4350292644264393
