rank,low_opening,mid_opening,high_opening,selected_min_distance,low_estimated_mass,mid_estimated_mass,high_estimated_mass,low_role_score,mid_role_score,high_role_score,spacing_score,balance_score,distance_bonus,total_score
32,20,40,50,12,2295.884622300161,4443.983058994864,5541.412730302787,0.8286447201711097,0.7827156827998993,0.38916986381603175,1.0,0.6666666666666667,0.4,2.1191969334537077
33,21,38,49,1,2400.9566708944935,4223.094015055,5432.320230462541,0.8039626138386076,0.842161311176711,0.3659096107974703,0.9333333333333333,0.7857142857142857,0.03333333333333333,2.1191287739080273
34,20,40,50,11,2295.884622300161,4443.983058994864,5541.412730302787,0.8286447201711097,0.7827156827998993,0.38916986381603175,1.0,0.6666666666666667,0.36666666666666664,2.118196933453708
35,22,38,50,2,2506.028719488826,4223.094015055,5541.412730302787,0.775016296083318,0.842161311176711,0.38916986381603175,0.9333333333333333,0.8571428571428572,0.06666666666666667,2.1172998520284416
36,20,40,50,10,2295.884622300161,4443.983058994864,5541.412730302787,0.8286447201711097,0.7827156827998993,0.38916986381603175,1.0,0.6666666666666667,0.3333333333333333,2.1171969334537075
37,22,38,50,1,2506.028719488826,4223.094015055,5541.412730302787,0.775016296083318,0.842161311176711,0.38916986381603175,0.9333333333333333,0.8571428571428572,0.03333333333333333,2.1162998520284417
38,20,40,50,9,2295.884622300161,4443.983058994864,5541.412730302787,0.8286447201711097,0.7827156827998993,0.38916986381603175,1.0,0.6666666666666667,0.3,2.1161969334537076
39,20,38,48,2,2295.884622300161,4223.094015055,5323.227730622294,0.8286447201711097,0.842161311176711,0.33917091854449977,0.9333333333333333,0.7142857142857143,0.06666666666666667,2.1152150451304155
40,20,40,50,8,2295.884622300161,4443.983058994864,5541.412730302787,0.8286447201711097,0.7827156827998993,0.38916986381603175,1.0,0.6666666666666667,0.26666666666666666,2.1151969334537077
41,20,38,48,1,2295.884622300161,4223.094015055,5323.227730622294,0.8286447201711097,0.842161311176711,0.33917091854449977,0.9333333333333333,0.7142857142857143,0.03333333333333333,2.1142150451304156
42,20,40,50,7,2295.884622300161,4443.983058994864,5541.412730302787,0.8286447201711097,0.7827156827998993,0.38916986381603175,1.0,0.6666666666666667,0.23333333333333334,2.114196933453708
43,20,40,50,6,2295.884622300161,4443.983058994864,5541.412730302787,0.8286447201711097,0.7827156827998993,0.38916986381603175,1.0,0.6666666666666667,0.2,2.1131969334537075
44,20,40,50,5,2295.884622300161,4443.983058994864,5541.412730302787,0.8286447201711097,0.7827156827998993,0.38916986381603175,1.0,0.6666666666666667,0.16666666666666666,2.1121969334537076
45,20,40,50,4,2295.884622300161,4443.983058994864,5541.412730302787,0.8286447201711097,0.7827156827998993,0.38916986381603175,1.0,0.6666666666666667,0.13333333333333333,2.1111969334537077
46,20,40,50,3,2295.884622300161,4443.983058994864,5541.412730302787,0.8286447201711097,0.7827156827998993,0.38916986381603175,1.0,0.6666666666666667,0.1,2.110196933453708
