opening,selected_min_distance,estimated_mass_ref,estimated_mass_min,estimated_mass_max,min_distance_to_train,distance_score,low_score,mid_score,high_score,low_coverage,mid_coverage,high_coverage,best_role,is_training_opening,best_role_order_score
35,4,3891.760449145204,1949.4287661230883,5834.092132167319,0.0,0.0,0.1814163833316225,0.5794768021416262,0.04446987627236547,0.6354911340403653,1.0,0.17787950508946188,mid,True,0.5491280035693771
40,4,4443.983058994864,2234.210567974903,6653.755550014825,0.0,0.0,0.12664140138788174,0.7827156827998993,0.12027290093592395,0.506565605551527,1.0,0.458663498010329,mid,True,0.8878594713331656
45,4,4995.950231101554,2523.3528503896323,7468.547611813477,0.0,0.0,0.09391650347798537,0.44506442499649923,0.21818932091362778,0.3756660139119415,1.0,0.7377787586533443,mid,True,0.3251073749941654
50,4,5541.412730302787,2808.1857559825016,8274.639704623072,0.0,0.0,0.061679337474238795,0.25,0.38916986381603175,0.24671734989695518,1.0,1.0,high,True,0.6155064765958569
20,5,2295.884622300161,1141.0211746260345,3450.7480699742873,0.0,0.0,0.8286447201711097,0.012437331679365317,0.0,1.0,0.04974932671746127,0.0,low,True,1.0
25,5,2821.244865271823,1407.0671391626427,4235.422591381003,0.0,0.0,0.5381773428174496,0.11243812298097161,0.0,0.8810273970082022,0.44975249192388644,0.0,low,True,0.771152228665217
30,5,3348.674302159256,1676.7275400462227,5020.62106427229,0.0,0.0,0.24199443474241253,0.2125056879086245,0.0,0.7589475819696065,0.850022751634498,0.0,low,True,0.5022847703465814
35,5,3891.760449145204,1949.4287661230883,5834.092132167319,0.0,0.0,0.1814163833316225,0.5794768021416262,0.04446987627236547,0.6354911340403653,1.0,0.17787950508946188,mid,True,0.5491280035693771
40,5,4443.983058994864,2234.210567974903,6653.755550014825,0.0,0.0,0.12664140138788174,0.7827156827998993,0.12027290093592395,0.506565605551527,1.0,0.458663498010329,mid,True,0.8878594713331656
45,5,4995.950231101554,2523.3528503896323,7468.547611813477,0.0,0.0,0.09391650347798537,0.44506442499649923,0.21818932091362778,0.3756660139119415,1.0,0.7377787586533443,mid,True,0.3251073749941654
50,5,5541.412730302787,2808.1857559825016,8274.639704623072,0.0,0.0,0.061679337474238795,0.25,0.38916986381603175,0.24671734989695518,1.0,1.0,high,True,0.6155064765958569
20,6,2295.884622300161,1141.0211746260345,3450.7480699742873,0.0,0.0,0.8286447201711097,0.012437331679365317,0.0,1.0,0.04974932671746127,0.0,low,True,1.0
