rank,low_opening,mid_opening,high_opening,selected_min_distance,low_estimated_mass,mid_estimated_mass,high_estimated_mass,low_role_score,mid_role_score,high_role_score,spacing_score,balance_score,distance_bonus,total_score
63,24,38,49,1,2716.0993624172015,4222.259753869907,5432.83889423099,0.8161727178279286,0.9644661408000322,0.8755860796762995,0.8333333333333334,0.88,0.03333333333333333,0.9153339639057656
64,23,37,48,2,2610.9560562228603,4111.267217550765,5324.003161178989,0.9402146279878874,0.933459971919081,0.8539276378537934,0.8333333333333334,0.88,0.06666666666666667,0.9145794578303396
65,23,39,50,1,2610.9560562228603,4333.347705801011,5541.412730302787,0.9355447788733504,0.8916378493676318,0.8987118034412203,0.9,0.8148148148148149,0.03333333333333333,0.9135655776056681
66,26,38,49,1,2926.3686265388747,4222.259753869907,5432.83889423099,0.7377663186313111,0.9644661408000322,0.8755860796762995,0.7666666666666667,0.9565217391304348,0.03333333333333333,0.9131116241937933
67,23,38,48,2,2610.9560562228603,4222.259753869907,5324.003161178989,0.9402146279878874,1.000000000001,0.8539276378537934,0.8333333333333334,0.8,0.06666666666666667,0.9122497620373794
68,20,37,49,1,2295.884622300161,4111.267217550765,5432.83889423099,0.830105211287874,0.8963313865844056,0.8755860796762995,0.9666666666666667,0.8275862068965517,0.03333333333333333,0.9106061318114171
69,20,38,49,1,2295.884622300161,4222.259753869907,5432.83889423099,0.830105211287874,0.9644661408000322,0.8755860796762995,0.9666666666666667,0.7586206896551724,0.03333333333333333,0.9105198676933577
70,25,37,50,1,2821.244865271823,4111.267217550765,5541.412730302787,0.6937872810423238,0.8963313865844056,0.8987118034412203,0.8333333333333334,0.96,0.03333333333333333,0.9100626029560055
71,21,39,50,1,2400.8141556944747,4333.347705801011,5541.412730302787,0.9069282391277093,0.8916378493676318,0.8987118034412203,0.9666666666666667,0.7586206896551724,0.03333333333333333,0.9080045500974299
72,25,37,49,1,2821.244865271823,4111.267217550765,5432.83889423099,0.6937872810423238,0.8963313865844056,0.8755860796762995,0.8,1.0,0.03333333333333333,0.9075025017886981
73,23,36,50,1,2610.9560562228603,4000.918111192793,5541.412730302787,0.9355447788733504,0.7182446822918145,0.8987118034412203,0.9,0.962962962962963,0.03333333333333333,0.9069399805664893
74,27,39,50,1,3031.551217314709,4333.347705801011,5541.412730302787,0.7778259454225418,0.8916378493676318,0.8987118034412203,0.7666666666666667,0.9565217391304348,0.03333333333333333,0.9061756032340296
75,22,37,48,1,2505.8494771586625,4111.267217550765,5324.003161178989,0.9674919438604787,0.8963313865844056,0.847004652094475,0.8666666666666667,0.8461538461538461,0.03333333333333333,0.9057080508581192
76,28,39,50,1,3136.914871145759,4333.347705801011,5541.412730302787,0.7289464774619836,0.8916378493676318,0.8987118034412203,0.7333333333333333,1.0,0.03333333333333333,0.9052062513278794
77,20,36,50,1,2295.884622300161,4000.918111192793,5541.412730302787,0.830105211287874,0.7182446822918145,0.8987118034412203,1.0,0.9333333333333333,0.03333333333333333,0.9047572385955117
78,23,37,48,1,2610.9560562228603,4111.267217550765,5324.003161178989,0.9355447788733504,0.8963313865844056,0.847004652094475,0.8333333333333334,0.88,0.03333333333333333,0.9043648614773563
79,22,36,49,1,2505.8494771586625,4000.918111192793,5432.83889423099,0.9674919438604787,0.7182446822918145,0.8755860796762995,0.9,0.962962962962963,0.03333333333333333,0.904183408612647
80,25,38,49,1,2821.244865271823,4222.259753869907,5432.83889423099,0.6937872810423238,0.9644661408000322,0.8755860796762995,0.8,0.9166666666666666,0.03333333333333333,0.9038214851248646
81,23,36,49,1,2610.9560562228603,4000.918111192793,5432.83889423099,0.9355447788733504,0.7182446822918145,0.8755860796762995,0.8666666666666667,1.0,0.03333333333333333,0.9036385615408533
82,22,38,48,1,2505.8494771586625,4222.259753869907,5324.003161178989,0.9674919438604787,0.9644661408000322,0.847004652094475,0.8666666666666667,0.7692307692307692,0.03333333333333333,0.903630846868554
83,27,38,48,2,3031.551217314709,4222.259753869907,5324.003161178989,0.7943772803032776,1.000000000001,0.8539276378537934,0.7,0.9523809523809523,0.06666666666666667,0.9031816923704884
84,28,38,48,2,3136.914871145759,4222.259753869907,5324.003161178989,0.7491719218867201,1.000000000001,0.8539276378537934,0.6666666666666666,1.0,0.06666666666666667,0.9021730813527935
85,23,38,48,1,2610.9560562228603,4222.259753869907,5324.003161178989,0.9355447788733504,0.9644661408000322,0.847004652094475,0.8333333333333334,0.8,0.03333333333333333,0.9015178274041424
86,24,39,50,1,2716.0993624172015,4333.347705801011,5541.412730302787,0.8161727178279286,0.8916378493676318,0.8987118034412203,0.8666666666666667,0.8461538461538461,0.03333333333333333,0.9010825028867746
87,28,38,50,1,3136.914871145759,4222.259753869907,5541.412730302787,0.7289464774619836,0.9644661408000322,0.8987118034412203,0.7333333333333333,0.9090909090909091,0.03333333333333333,0.9008124939373051
