opening,selected_min_distance,estimated_mass_ref,estimated_mass_min,estimated_mass_max,min_distance_to_train,distance_score,is_training_opening,low_fit_prob,low_coverage,low_distance_metric,low_order_metric,mid_fit_prob,mid_coverage,mid_distance_metric,mid_order_metric,high_fit_prob,high_coverage,high_distance_metric,high_order_metric,low_score,mid_score,high_score,best_role,best_role_order_score
50,1,5541.412730302787,2808.1857559825016,8274.639704623072,0.0,0.0,True,9.048379446405022e-05,0.25200305948870216,0.0,0.0,0.286253904333938,1.0,0.0,0.0,0.713655611871598,1.0,0.0,0.657192356745766,1.0000000000000002e-12,0.12292598601681992,0.8987118034412203,high,0.657192356745766
20,2,2295.884622300161,1141.0211746260345,3450.7480699742873,0.0,0.0,True,0.959171045682088,1.0,0.0,1.0,0.04069879948324436,0.0436655295042359,0.0,0.0,0.0001301548346675278,0.0,0.0,0.0,0.7697489379650126,1e-12,1e-12,low,1.0
22,2,2505.8494771586625,1247.074667365592,3764.6242869517328,2.0,0.4,False,0.9295780236519307,0.9537852652369839,0.4,0.9596050102855576,0.07014651737609426,0.21084183217467542,0.4,0.0,0.00027545897197503417,0.0,0.4,0.0,0.9697486092386784,0.29699655631556715,0.1424856932131429,low,0.9596050102855576
23,2,2610.9560562228603,1300.3182799161893,3921.593832529531,2.0,0.4,False,0.9075221561724027,0.9298501204992257,0.4,0.9036232941698906,0.09207242257889126,0.29444672748740636,0.4,0.0,0.0004054212487058887,0.0,0.4,0.0,0.9402146279878874,0.3072297698552052,0.1425387618834958,low,0.9036232941698906
25,2,2821.244865271823,1407.0671391626427,4235.422591381003,0.0,0.0,True,0.8421953726144519,0.8818622159552507,0.0,0.7916195688532259,0.15691518303917254,0.4615977530785301,0.0,0.0,0.0008894443463754542,0.0,0.0,0.0,0.6435210141735228,0.05231122021649102,0.00031004754566311407,low,0.7916195688532259
27,2,3031.551217314709,1514.7460493808294,4548.356385248589,2.0,0.4,False,0.7396382631779655,0.8334562161026456,0.4,0.679606499812178,0.25841616198938816,0.6282721036973782,0.4,0.0,0.0019455748326462933,0.0,0.4,0.0,0.7943772803032776,0.3618733479414484,0.14316766670799508,low,0.679606499812178
28,2,3136.914871145759,1568.8884197789293,4704.941322512589,2.0,0.4,False,0.6726127709901684,0.8091170435738781,0.4,0.6234878609011298,0.32453711180785183,0.7116721494789908,0.4,0.0,0.0028501172019798162,0.0,0.4,0.0,0.7491719218867201,0.3798217443265413,0.1435370266640213,low,0.6234878609011298
30,2,3348.674302159256,1676.7275400462227,5020.62106427229,0.0,0.0,True,0.5129903345517179,0.760639022862242,0.0,0.5107008550128301,0.48111366448626425,0.8798090429446661,0.0,0.0,0.005896000962017821,0.0,0.0,0.0,0.419506013138816,0.14102525545258116,0.002354420030678939,low,0.5107008550128301
32,2,3564.3876899684606,1785.074909584253,5343.700470352668,2.0,0.4,False,0.342491758317999,0.7119325236669871,0.4,0.39580789829974206,0.6460230792951231,1.0,0.4,0.2083842034005161,0.011485162386877757,0.03260621671251802,0.4,0.0,0.5458509485676849,0.5725120368722352,0.1538749049170748,mid,0.2083842034005161
33,2,3673.607127409187,1839.8363036409162,5507.377951177457,2.0,0.4,False,0.2653720305364731,0.6873150751130959,0.4,0.3376355974261207,0.7190007851615174,1.0,0.4,0.3247288051477587,0.015627184302009444,0.08738923515613187,0.4,0.0,0.49643496110025664,0.6491436882722915,0.16701112157199546,mid,0.3247288051477587
35,2,3891.760449145204,1949.4287661230883,5834.092132167319,0.0,0.0,True,0.14558699051560958,0.6380488565749493,0.0,0.22144308658761136,0.8268795198088663,1.0,0.0,0.5571138268247775,0.027533489675524162,0.19674080210819986,0.0,0.0,0.17932487582111206,0.5165270754052065,0.05229150030505514,mid,0.5571138268247775
37,2,4111.267217550765,2061.5249028035073,6161.009532298022,2.0,0.4,False,0.07203643175403418,0.5876571358133336,0.4,0.10452970491583247,0.881326497321812,1.0,0.4,0.7909405901683353,0.046637070924153756,0.3061603867123283,0.4,0.0,0.3383216692079237,0.933459971919081,0.225377737179045,mid,0.7909405901683353
38,2,4222.259753869907,2118.987803052287,6325.531704687529,2.0,0.4,False,0.04896374270921688,0.5618252516000135,0.4,0.04541301864844943,0.8906861802259077,1.0,0.4,0.9091739627031014,0.06035007706487534,0.3612261242773258,0.4,0.0,0.3071285235813856,1.000000000001,0.24248122388406462,mid,0.9091739627031014
40,2,4443.983058994864,2234.210567974903,6653.755550014825,0.0,0.0,True,0.021487095323333365,0.5100279857235348,0.0,0.0,0.878409861473692,1.0,0.0,0.8546381367059879,0.10010304320297458,0.47108297741063626,0.0,0.0726809316470059,0.044896408271945895,0.688863431911721,0.1787530250085133,mid,0.8546381367059879
42,2,4664.967004855952,2349.6292887492314,6980.304720962673,2.0,0.4,False,0.008823612016043068,0.4581426298124347,0.4,0.0,0.8273095310362109,1.0,0.4,0.6192378290666494,0.16386685694774608,0.5803793153346827,0.4,0.1903810854666752,0.26322501730315184,0.8297568546463349,0.43404094906602325,mid,0.6192378290666494
43,2,4775.559209014006,2407.7134245914185,7143.404993436594,2.0,0.4,False,0.005488675540104725,0.4320314752203377,0.4,0.0,0.7864191137054192,1.0,0.4,0.5014309052203201,0.2080922107544762,0.6349691415592321,0.4,0.24928454738983985,0.25827674859924804,0.7579353776975701,0.49552887803380746,mid,0.5014309052203201
