Task,Model,DisplayName,ArchitectureNote,R2,ARE(%),n_test,Hyperparams,protocol,fold_id,train_seed,outer_repeat_id,split_seed,replicate_id,is_canonical_replicate,canonical_replicate_rule
forward,GRNN,GRNN,,0.9924105152622404,2.9133148531454096,44,sigma=0.1,random_interp,1,82,3,1003,random_interp|fold=1|train_seed=82|outer_repeat_id=3,0,first_train_seed_first_outer_repeat
forward,KAN,KAN,forward spline/grid KAN,0.9999784827232361,0.1355757713317871,44,"hidden=32, lr=0.01, wd=0.0001",random_interp,1,82,3,1003,random_interp|fold=1|train_seed=82|outer_repeat_id=3,0,first_train_seed_first_outer_repeat
forward,MLP,MLP,,0.9990389289082524,1.2210003093140656,44,"hidden=(32, 32), alpha=1e-06",random_interp,1,42,4,1004,random_interp|fold=1|train_seed=42|outer_repeat_id=4,0,first_train_seed_first_outer_repeat
forward,GRNN,GRNN,,0.9895113382659932,4.096676272369259,44,sigma=0.1,random_interp,1,42,4,1004,random_interp|fold=1|train_seed=42|outer_repeat_id=4,0,first_train_seed_first_outer_repeat
forward,KAN,KAN,forward spline/grid KAN,0.999972403049469,0.20772753655910492,44,"hidden=32, lr=0.01, wd=0.0001",random_interp,1,42,4,1004,random_interp|fold=1|train_seed=42|outer_repeat_id=4,0,first_train_seed_first_outer_repeat
forward,MLP,MLP,,0.9991618424615827,1.233879080760443,44,"hidden=(32, 32), alpha=1e-06",random_interp,1,52,4,1004,random_interp|fold=1|train_seed=52|outer_repeat_id=4,0,first_train_seed_first_outer_repeat
forward,GRNN,GRNN,,0.9895113382659932,4.096676272369259,44,sigma=0.1,random_interp,1,52,4,1004,random_interp|fold=1|train_seed=52|outer_repeat_id=4,0,first_train_seed_first_outer_repeat
forward,KAN,KAN,forward spline/grid KAN,0.9999756813049316,0.2051030993461609,44,"hidden=32, lr=0.01, wd=0.0001",random_interp,1,52,4,1004,random_interp|fold=1|train_seed=52|outer_repeat_id=4,0,first_train_seed_first_outer_repeat
forward,MLP,MLP,,0.9983504922828341,1.764072291822803,44,"hidden=(32, 32), alpha=0.0001",random_interp,1,62,4,1004,random_interp|fold=1|train_seed=62|outer_repeat_id=4,0,first_train_seed_first_outer_repeat
forward,GRNN,GRNN,,0.9895113382659932,4.096676272369259,44,sigma=0.1,random_interp,1,62,4,1004,random_interp|fold=1|train_seed=62|outer_repeat_id=4,0,first_train_seed_first_outer_repeat
forward,KAN,KAN,forward spline/grid KAN,0.9999677538871765,0.241191104054451,44,"hidden=32, lr=0.01, wd=1e-05",random_interp,1,62,4,1004,random_interp|fold=1|train_seed=62|outer_repeat_id=4,0,first_train_seed_first_outer_repeat
